alias,nodeId,p2p,ping (tcp),ping (udp)
null,0x1ccd42dc38f9043a09a066ee570c422dc88d0278,false,10s,285ms
null,0x652043f8404a9f6239014d3e15fd64371d53f1ef,false,369ms,369ms
null,0x4e86bef263647a066928acd80af3b78357fa0e53,false,10s,46ms
null,0xf7053ddf52432adcdf4eb1816e30215775eb04c7,false,171ms,159ms
null,0xf8155f6bed58af5e4093d38cf68066e3f47460e2,false,10s,152ms
null,0xf2557b65dd09ee7e0cc66e516f30d854b1912777,false,10s,10s
null,0x1592f16698073730e2f738e89d0cf6654b08ba8c,false,99ms,98ms
null,0x615f1190e10884f784418906b2f696b67aa88165,false,10s,46ms
null,0x71173f5eb7aeb421a2240d7e44d312e112adda86,false,100ms,100ms
null,0x95b13d736c77d116d0585f0bcf3b8f3c233c6ed3,false,10s,10s
null,0xabf228b042cf6cefac0953d1ce6b7d45f079de00,false,10s,10s
null,0xc04863f26dab1bb0d9ec35c793b01c6cc5e7a399,false,10s,126ms
null,0xcfd951a32a77e31e0c7ba85638c828a2ef4342cd,true,10s,23ms
null,0x3e80bbf91bead11bd6f4428985071ff7f96e996c,false,10s,63ms
null,0x9b72a2b41cd0aeaf295b80a74a8dbfe773aa73e0,false,70ms,61ms
null,0x2d3989cfba7f8faa12192721af131cb3df6a3606,false,66ms,65ms
null,0x181bbc404528fc44e883226d9653a27f5fc3fe5a,false,10s,66ms
null,0x1da15b7053ae2e73fbb09bd82694f562e6a734a7,false,10s,358ms
null,0x26386b1c1edb143b3f6274dd15ede9b47ec02e15,false,160ms,159ms
null,0x37792f405c68a2bcee144cc9b6b5f3efabd3984d,true,23ms,22ms
null,0x39c782e75b6c84d95b02a851bfdff8c021c5fb94,false,71ms,69ms
null,0x3f661d165ea2a6ed0082bb68a2a8452014c86176,false,82ms,78ms
null,0x4940a8e3680c755eba8f92ba214e7e180a029c8e,false,97ms,80ms
null,0x4b0dff7f5cc0c27270339e4746552f62dc97943e,false,10s,10s
null,0x541c928a0cba9664d1280af92f27397430692c99,false,206ms,201ms
null,0x53ebdfc8bb0a0604ce16652109e54f09b5a5dd60,false,89ms,73ms
null,0x5bcc89b863e7fa23768bcd48869c13d57e00bbfc,false,98ms,86ms
null,0x7f64711f0e301b7ba3e85d5a936d0a378cbdb657,false,253ms,249ms
null,0xb93de2954aef8827e2ed89a30eb4747a5d8e8bab,false,94ms,80ms
null,0xe2eaab5494809098e58435407b6a4faf2a7641e7,false,82ms,66ms
null,0xfbf3d22e9df301e22a9a1a39cd6910635ebb5d3f,false,299ms,98ms
null,0xe1391a3bcc561a7f7d56aa7a3fec63f4f27cc019,false,10s,84ms
null,0x2f45e7f2e915dc8aa3aa4e1afc6dcfb58f82d8b0,true,179ms,178ms
null,0x38316707ef93b7e3b451720f8fc6743d0bb5cbe7,false,75ms,75ms
null,0xe330e96e8fd73407eb9864d521f62bd66d3b8de1,false,72ms,71ms
null,0x0a907b66dab0bbcaa2e88a0aa64e698879cbd212,false,72ms,71ms
null,0xc9bb58f061705b2c47ca980ef140f81267892706,false,135ms,134ms
null,0xcf2c8968cf302557466c363dd9683de99a7a61f9,false,72ms,71ms
null,0x25801ab4181eebe233d0b795f95d135204abab79,false,90ms,88ms
null,0x8f3e710b47ce77d380f011ed331485b3e739f365,false,10s,352ms
null,0x591b5ab2de0d100951c27a86073946c3e91522b0,false,369ms,368ms
null,0xd72b5ce1dc6274e23ca97311c7feeb91a02d72ad,false,80ms,80ms
null,0x2d41d3f3aff5c834db6681c3782ddbdcb0c3ff1a,false,10s,67ms
null,0x5595546699e894cf077685a20f3ff214a217b950,false,115ms,105ms
null,0x43c7383abf784186e5bc94aa22408e7768148b98,true,193ms,191ms
null,0xa8c8558c13767a037577af34bdb5ee9edd4610a1,false,10s,82ms
null,0x1eb4d527fb34a1d480be849c1a8d1e8b33287db4,false,181ms,180ms
null,0x3f1f106429777565eb33c0e46b97162952fabb05,true,182ms,182ms
null,0x2cd04c4723f998c998041d6b00120fbd078678b4,false,10s,191ms
null,0x6136bde491962611c0ec1a9d1703e89e7de227c1,false,80ms,79ms
null,0x87e1b93fa52fd64758f9c3aa8c258ee7cf3ca1ca,false,227ms,225ms
null,0x7efd79bc940ea91776613f3ef52c85a9cb6ff916,false,87ms,84ms
null,0x96c72289067578c852957d20acb35c8d7c2a0003,false,61ms,60ms
null,0xbda981482cca2db5b8c2e50dfb3273055ab51399,false,73ms,73ms
null,0x9d1b9c222618d4617206d6e2524a82f5a543e315,false,137ms,136ms
